State_Code,County_Code,Parameter_Name,Metric_Used,Year,Arithmetic_Mean,Local_Site_Name,Address,State_Name,County_Name,City_Name
1,089,Iron_(TSP)_STP,Observed Values,1990,0.423733,,MADISON_STREET,Alabama,Madison,Huntsville
1,089,Lead_(TSP)_STP,Observed Values,1990,0.01465,,MADISON_STREET,Alabama,Madison,Huntsville
1,089,Manganese_(TSP)_STP,Observed Values,1990,0.0146,,MADISON_STREET,Alabama,Madison,Huntsville
1,089,Molybdenum_(TSP)_STP,Observed Values,1990,0.001633,,MADISON_STREET,Alabama,Madison,Huntsville
1,089,Nickel_(TSP)_STP,Observed Values,1990,0,,MADISON_STREET,Alabama,Madison,Huntsville
1,089,Vanadium_(TSP)_STP,Observed Values,1990,0.0011,,MADISON_STREET,Alabama,Madison,Huntsville
1,089,Zinc_(TSP)_STP,Observed Values,1990,0,,MADISON_STREET,Alabama,Madison,Huntsville
1,089,PM10_Total_0-10um_STP,Daily Mean,1990,30.964286,,MADISON_STREET,Alabama,Madison,Huntsville
1,089,Suspended_particulate_(TSP),Observed Values,1990,42,,11525_SO_PARKWAY,Alabama,Madison,Huntsville
1,089,PM10_Total_0-10um_STP,Daily Mean,1990,32.733333,,11525_SO_PARKWAY,Alabama,Madison,Huntsville
1,089,Suspended_particulate_(TSP),Observed Values,1990,34.5,,NOAA_STATION_(JETPORT),Alabama,Madison,Huntsville
1,089,PM10_Total_0-10um_STP,Daily Mean,1990,26.1,,NOAA_STATION_(JETPORT),Alabama,Madison,Huntsville
